Gene	ADHD	AD	AF	BP	CD	Celiac	CAD	DrinkWeek	FG	GRT	IBD	Insomnia	Intel	SLE	MDD	MS	PBC	ReactionTime	RA	SCZ	SleepDuration	SWB	T1D	T2D	UC	VNR	Worry	ALT	ALP	TC	Glucose	HbA1c	HDL	LDL	SHBG	TST	TBIL	TP	TG	EOS	LYM	MCH	MONO	PLT	RDW	RBC	WBC	BMD-HT	Balding	BMI	Height	WHR	DBP	SBP	BreastCancer	ECOL	EY	Smoking	AIT	Eczema	ASM	CVD	HTN	HT	RR-ENT	BMR	FEVi/FvC	FVC	NRT	MorningPerson	HAIR	MNR	MNP	NCH
ABCA10	0.09951943	0	0	0	0	0	0	0.12090655	0	0.15335691	0	0	0.0823425	0	0.15075804	0	0	0	0.02770497	0	0.086559676	0.16677457	0	0	0	0.08545563	0.10811801	0	0	0	0.0402863	0	0	0	0	0.039678674	0	0.05078845	0	0	0	0	0	0	0	0	0	0.08500402	0.12798657	0.12437223	0	0.08173248	0	0.08160314	0.103252	0.11736996	0.15163058	0.16082865	0	0	0	0.060115628	0.08768341	0	0	0.11635522	0	0.09051908	0.1319218	0.11397998	0	0.105218686	0	0.099139996
ABCA6	0.12013352	0	0	0	0	0	0	0.15411659	0	0.18139376	0	0.043879636	0.09324871	0	0.17990574	0	0	0	0.035864722	0.10566293	0.09580259	0.20687214	0.039537422	0	0	0.09594226	0.12751631	0	0	0	0.04944316	0	0	0	0	0.06628041	0	0.057513922	0	0	0	0	0	0	0	0	0	0.10227829	0.16155021	0.14887543	0	0.090175115	0	0.09103372	0.13026868	0.13190462	0.16884482	0.19114137	0	0	0	0.0735533	0.10649293	0	0	0.13790722	0	0.11658322	0.15626848	0.13868485	0	0.12341094	0.034338657	0.11871324
ABCA8	0.05136625	0	0	0	0	0	0	0.12532324	0	0	0	0	0	0	0	0	0	0	0.036778122	0	0	0	0.0788181	0	0	0	0	0	0.0610736	0	0	0	0	0	0	0.050373517	0	0.048649658	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08381016	0	0	0.077188164	0	0	0	0	0	0	0.04816384	0	0	0	0	0	0	0	0	0	0.05378938	0	0
ABCA9	0.089342386	0	0	0	0	0	0	0.12998913	0	0.15593252	0	0	0	0	0.13803925	0	0	0	0.033275876	0	0.07172403	0.17062788	0.035987243	0	0	0.076993234	0.08833526	0	0	0	0	0	0	0	0	0.02546068	0	0	0	0	0	0	0	0	0	0	0	0.08116048	0.13733701	0.111441635	0	0.102763385	0	0.08498225	0.10875653	0.10183856	0.14096723	0.15951611	0	0	0	0.060878802	0.08790114	0	0	0.10875576	0	0.09344619	0.13341017	0.09683001	0	0.08899705	0.049513426	0.08146281
ABCB10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033306476	0	0	0	0	0	0	0.03402198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0.054161087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03118096	0	0	0	0.08685006	0.062341772	0.07070021	0.073318474	0.050116137	0	0.07308611	0.03166369	0.04552735	0	0	0.041818336	0	0	0	0	0	0.039287187	0	0	0	0	0	0	0.071461946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0411476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	0.05134585	0	0.09366669	0	0	0	0	0.061247453	0	0.10457847	0	0	0.070363544	0	0.098899744	0	0	0	0	0.09297946	0.07599918	0.1392162	0	0	0	0.07559523	0	0	0	0	0.034240477	0	0	0	0	0	0	0.05272885	0	0	0	0	0	0	0	0	0	0.09008432	0.11173448	0.10575672	0	0.06925378	0.08326521	0.08378431	0.069797605	0.104219876	0.1068206	0.11760062	0	0.05883657	0.063162975	0.048223767	0.06692275	0	0.06716085	0.09767423	0.12291002	0.10780481	0.1049863	0.09024406	0	0.055370435	0	0.06572469
ABCC4	0.04894131	0	0	0	0	0	0	0	0	0	0	0.05369623	0	0	0.094574936	0	0	0.08150134	0	0	0.06737648	0.13102923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09851096	0	0	0	0	0	0	0.06397607	0.09835653	0	0	0	0.04892381	0	0	0	0	0.044220183	0	0	0	0.0938071	0.08497756	0	0.059158117	0	0.067980364
ABCC5	0	0	0	0	0	0	0	0.053331174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042451788	0
ABCC9	0	0	0	0	0	0	0	0.046476517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023965247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02937463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04402697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043807488	0
ABCG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029878179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029061362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037960313	0	0	0.048750523	0	0.032438044	0.034232855	0.040270075	0	0	0.049706094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032177094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033354104	0	0	0	0	0	0.03432004	0	0	0.045973647	0.037579294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026131561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17C	0	0	0	0	0.0494626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0486152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD2	0	0	0.090782255	0.039438505	0	0	0.056566708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10605037	0	0	0	0	0	0	0
ABHD5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03596922	0	0	0	0	0	0	0	0	0.038543347	0	0	0	0	0	0	0.02979228	0.029143082	0	0	0	0.046582486	0	0	0.04407969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040714424	0	0	0	0	0.041221157	0	0	0	0	0	0	0	0	0.06291874	0
ABI2	0	0	0	0	0	0	0.042033453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08449453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035983946	0
ABI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03579684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029632717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	0.065099865	0	0	0	0	0	0	0.09944765	0	0.10643746	0	0	0.07812064	0	0.10003403	0	0	0	0.029094785	0.105669394	0	0.16614453	0.04211407	0	0	0.07538002	0.09172883	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044853136	0	0.04731665	0	0	0	0	0.101363294	0.11083461	0.12635316	0	0	0	0	0.1101089	0.11801543	0.118286185	0.14711747	0	0.07437037	0.06626802	0.06030951	0.07868037	0	0.068694465	0	0.12055037	0.13838056	0.1263188	0.10027567	0	0.06827541	0	0.07674383
ABITRAM	0.051913165	0	0	0	0	0	0	0	0	0	0	0.047951426	0.0739967	0	0	0	0	0	0	0	0.06867325	0	0	0	0	0	0.07529094	0	0	0	0.032362495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096449204	0	0	0	0	0	0.09326124	0	0.100123376	0	0	0	0.046894535	0	0	0	0	0	0.08439795	0	0	0	0.06489482	0	0.05981282
ABL1	0	0	0	0	0	0	0	0.049995713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060226288	0	0	0	0	0.08124454	0.106332056	0	0	0.08138951	0	0	0	0	0	0	0	0.05605319	0.052508157	0	0	0	0.060985815	0.09291257	0	0	0	0	0	0	0.07329082	0
ABL2	0	0	0	0	0.07184324	0.041239362	0	0	0	0	0	0	0	0	0	0	0	0	0.04629402	0	0	0	0.045162346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043817334	0	0.07955011	0	0	0	0.05827173	0.08145642	0	0	0	0	0	0	0	0	0	0	0.06468487	0.07275411	0	0	0	0	0.043986384	0	0	0	0	0	0	0	0.07018782	0
ABLIM1	0	0	0	0	0	0	0	0.08929569	0	0	0	0	0	0	0	0	0	0	0.03152268	0	0	0	0.07715468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042219415	0	0.042348526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038619585	0
ABLIM3	0.06480522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032966457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	0.058681976	0	0.09144513	0	0	0	0	0	0	0.09284296	0	0	0.077205464	0	0	0	0	0.08696708	0	0.08896616	0	0.13389054	0	0	0	0.077259675	0.07459122	0	0	0	0.042295802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09943931	0	0.09369008	0.027490137	0.0610998	0.09234468	0.096099846	0	0	0	0.09558811	0	0	0.05765092	0.060794525	0.084528066	0	0.052953586	0.09033809	0.110980414	0.091189966	0	0.085483655	0.03743282	0	0	0
ABRACL	0	0.08715707	0	0	0.052003715	0	0	0	0.055102337	0	0.06367281	0	0	0.061076295	0	0.0792054	0.06789292	0	0	0	0	0	0	0	0.06363944	0	0	0	0	0.03689965	0	0	0	0.032927774	0	0	0.02971263	0	0	0.044994097	0	0	0	0.083065696	0.04063975	0.043647256	0	0	0	0	0	0	0	0	0	0	0	0	0.0663852	0	0	0	0	0.04453145	0	0	0	0	0	0	0	0	0	0
ABTB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031532053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04260362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACACA	0.053764306	0	0	0	0	0	0	0.075074136	0	0.10843058	0	0	0	0	0.094444804	0	0	0	0	0	0.072186016	0	0	0	0	0.070334174	0	0	0	0	0.034973543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08032918	0	0	0	0	0	0	0.09406007	0.10090479	0.10192217	0	0	0	0	0	0	0	0.08848585	0	0	0.09427463	0.08587516	0	0.05953604	0.04216538	0.06363072
ACACB	0.055612527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05104459	0	0	0	0.065651685	0.049393184	0.050710794	0.06636438	0.048412204	0	0.04959177	0.033511907	0.06595071	0	0.040222935	0.048994012	0	0	0	0	0	0	0	0	0	0.08436102	0	0	0.14369911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAD10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048621636	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033263497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044000752	0	0	0	0	0.043828927	0	0	0	0	0	0	0	0	0	0
ACADS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022203987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADVL	0	0.042627964	0	0	0.06391862	0	0	0	0.0690334	0	0.075304046	0	0	0	0	0.050857887	0.07358257	0	0	0	0	0	0.04233768	0.035846766	0.06388422	0	0	0	0.09241154	0.07655028	0	0.07510996	0.09651445	0.07668821	0.102962755	0.059112314	0.045671742	0.054649293	0.07982026	0.044195857	0.048878927	0.08157052	0	0.086870044	0.07105138	0.05198723	0.048858747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAN	0	0	0	0.041606806	0	0	0.05951458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036874454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043197013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02884168	0	0	0	0	0	0.034151357	0.044921894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070152655	0	0	0	0	0.059004	0	0	0	0	0	0	0	0	0	0
ACAP2	0.053109035	0	0	0	0	0.052260667	0	0.063624814	0	0.09095681	0	0.049815655	0.07569773	0	0.099316016	0	0	0.085557885	0.028127551	0.100249015	0.07308207	0.13553794	0	0	0	0	0.08759319	0.042260766	0	0	0.036089674	0	0	0	0	0	0	0	0	0	0	0	0.04136358	0	0	0	0.03936451	0.09132419	0.09780903	0.099255554	0	0	0	0	0.08060826	0.09447703	0.09932515	0.118073665	0	0.061860528	0.045729812	0.05390741	0.075644255	0.04521828	0.05351901	0	0	0.09372507	0.09684165	0.09766021	0	0.064783625	0	0.0712008
ACBD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030498285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACBD6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06665096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022682618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032430734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACHE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03555274	0	0	0
ACIN1	0	0	0	0	0	0	0	0.05134973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034064807	0	0	0	0	0	0	0	0	0	0	0	0.045625392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053407587	0	0
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045589503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0	0	0.047674622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059107296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044590414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044227142	0
ACO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03569328	0
ACO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027485361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04658661	0	0	0	0	0	0	0	0	0	0	0	0.049831472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037159495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03543676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029713748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP1	0	0	0	0	0	0	0	0	0.039197724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054658458	0	0	0	0	0	0	0	0	0	0	0	0.038841814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP2	0	0	0	0	0	0	0	0	0.044037234	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042763494	0	0	0	0	0	0.030271892	0	0.042063087	0.044688504	0	0	0	0.034560286	0	0	0.046884514	0	0	0	0	0	0	0	0	0	0	0	0.025505304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
