Genes	ActFB	apCAF	CycFB	CytFB	DerFB	DevFB	EpiFB	FCC	FCPC	iCAF	LipFB	MetFB	myoCAF	PapFB	ProFB	UniFB
PRKG1	-0.329553193	3.662625413	-0.245173856	0.035881712	-0.462764506	-0.224674045	-0.405868397	-0.426054268	-0.38410782	-0.413973938	-0.035217714	-0.398255153	0.191722455	0.145879861	-0.268311586	-0.442154966
ROBO2	-0.331640129	3.707488438	-0.226966068	-0.080986291	-0.38009287	-0.177903295	-0.264108735	-0.362908187	-0.289983024	-0.348888351	-0.193643894	-0.346068067	-0.32782443	0.222966765	-0.232738187	-0.366703676
DLG2	-0.251578928	3.695093375	-0.268275113	0.149644281	-0.417881615	-0.085310519	-0.417900231	-0.400038772	-0.335523061	-0.383436143	-0.133628361	-0.369961312	-0.301647144	-0.027894105	-0.04700436	-0.404657991
CEMIP	-0.313037932	3.62318883	-0.291818559	0.61951661	-0.389627203	-0.292972673	-0.367446645	-0.197318909	-0.295668828	-0.404279175	0.031994229	-0.405083166	-0.40093717	-0.148584974	-0.371773488	-0.396150945
CACNA1C	-0.300759657	3.684911905	-0.309491686	0.09746889	-0.405990768	-0.194491686	-0.363579429	-0.422582722	-0.375334428	-0.424761504	-0.133419449	-0.343368549	0.185835139	-0.082303392	-0.190744626	-0.421388035
RYR2	-0.21406858	3.712564348	-0.215023862	-0.277986975	-0.344837264	-0.020757272	-0.338584764	-0.356731951	-0.289434579	-0.345066409	-0.32635307	-0.363510071	0.092459152	-0.027589531	-0.322267132	-0.362812039
LSAMP	-0.165948877	3.631984822	-0.309187509	0.46380012	-0.511507047	-0.145896325	-0.012541994	-0.399466481	-0.232470149	-0.434921627	-0.121784257	-0.42141936	-0.50565422	-0.014938457	-0.412224611	-0.407824029
KIF26B	-0.084915976	3.558384675	-0.167960447	-0.375059636	-0.407528417	-0.347512295	0.738294288	-0.395338226	-0.338141275	-0.418692667	-0.406690975	-0.404450992	-0.372949979	0.258232667	-0.414477968	-0.421192777
MACF1	-0.118415071	3.681988073	-0.305948804	-0.070958658	-0.473266167	0.045780297	-0.375689493	-0.425617399	-0.294848745	-0.43770429	-0.200059009	-0.38732741	-0.178884421	0.214588461	-0.27191881	-0.401718551
DOCK4	-0.370559815	3.671209542	-0.377712647	0.131257863	-0.485403269	-0.00818534	-0.41333014	-0.430520302	-0.386426484	-0.379884151	-0.13017002	-0.024780477	-0.442951288	0.119501923	-0.240599833	-0.231445562
POSTN	0.960853833	0.274851772	3.479118048	-0.454131114	-0.368371342	-0.421077198	-0.310129643	-0.341093102	-0.024678757	-0.391174122	-0.461906331	-0.461506985	-0.213646262	-0.368836459	-0.455714896	-0.442557441
DLK1	-0.053552673	-0.383864051	1.398312484	-0.392573058	3.364244622	-0.28801504	-0.341972595	-0.385364739	-0.286752995	-0.338247032	-0.383221223	-0.39016798	-0.347791374	-0.394417864	-0.384804596	-0.391811887
MEST	0.064958579	-0.459181831	3.599880043	-0.479820831	0.495637224	-0.344955929	-0.100064949	-0.340247696	0.168587288	-0.262596171	-0.32312182	-0.414088628	-0.439192881	-0.377409538	-0.601288144	-0.187094716
NREP	0.352388352	-0.311853656	3.096566446	-0.591377959	-0.313074516	0.123153974	1.631325181	-0.48929414	-0.015591399	-0.359049227	-0.617802956	-0.618581014	-0.345954758	-0.408902465	-0.617352542	-0.51459932
STMN1	0.066121785	-0.572358526	2.29969735	-0.662982316	0.184666672	2.546272543	0.340380536	-0.421074897	-0.020889759	-0.356186137	-0.655335778	-0.644109649	-0.38044142	-0.465835833	-0.676599325	-0.581325245
ITM2C	0.19564667	-0.730572769	3.427191192	-0.650807558	-0.441664316	0.896745809	-0.10379985	-0.407666294	0.188604414	-0.247789962	-0.602594326	-0.188125718	-0.086016462	-0.476335204	-0.551044509	-0.221771117
COL5A1	0.702019186	1.227213141	3.065385874	-0.265009525	-0.710860732	-0.831941739	0.598775194	-0.644639489	-0.156565121	-0.672095349	-0.526339308	-0.156107808	-0.690207355	-0.27007799	-0.411098744	-0.258450236
COL1A1.1	1.873582863	0.89758866	2.665030035	-0.581493181	-0.643366715	-0.712885834	-0.165760839	-0.23248641	0.39509406	-0.413102269	-0.700246697	-0.552154368	-0.603118367	-0.447044701	-0.743625391	-0.036010848
PTN	-0.389847049	-0.636511011	2.63410926	-0.390841414	-0.609678514	1.886066587	-0.291117736	-0.53616147	-0.248738513	1.239103469	-0.578313302	-0.736392887	-0.267429741	-0.106593001	-0.596484243	-0.371170433
KCTD12	-0.080325423	-0.412896443	3.565149259	-0.596963705	-0.270925544	0.158186414	-0.524062276	-0.175788101	-0.02605267	0.465387292	-0.589607458	-0.614192229	-0.570493649	0.054582	-0.25773247	-0.124264996
LAMA2	-0.518942587	3.212883687	-0.431144939	1.166675572	-0.584568325	-0.296035895	-0.686280059	-0.588047011	-0.541997531	-0.353216807	0.642999708	-0.350058551	-0.640536189	0.219189083	0.166600017	-0.417520173
ZFPM2	-0.741538855	1.999678933	-0.698741074	2.070484442	-0.778868296	-0.638956273	-0.72130457	-0.655974346	-0.723003307	-0.618439836	1.120154147	0.144226261	-0.463596278	1.051442276	0.100959443	-0.446522669
SNED1	-0.494735023	2.595003709	-0.681922606	1.806854515	-0.6760877	-0.518369443	-0.78093017	-0.529958247	-0.579420359	-0.52638822	0.911838467	-0.130811792	-0.693604626	0.752796077	-0.050212664	-0.404051918
KAZN	-0.627691495	3.089118782	-0.615457799	1.476887032	-0.656378519	-0.058229264	-0.283102424	-0.236400135	-0.543872369	-0.633028988	0.724230759	-0.213115293	-0.522294238	-0.036226208	-0.334940399	-0.529499442
NAV3	-0.535837278	3.03416296	-0.479998391	1.56278846	-0.575940158	-0.443559085	-0.415757183	-0.539114143	-0.548483691	-0.474948641	0.69521952	-0.220008984	-0.680482268	-0.127641554	0.244417814	-0.49481738
PLCXD3	-0.699863177	-0.157122517	-0.658580814	3.032700608	-0.732114875	-0.666250892	0.705565106	-0.582377999	-0.6687115	-0.317100282	0.938186862	-0.682412952	-0.101320396	0.760433308	0.43452017	-0.605550651
ISM1	-0.450802521	0.224248753	-0.809281787	2.879376175	-0.836766871	-0.831944863	-0.302062257	-0.348676776	-0.65031546	-0.45325737	0.749264617	1.441091019	-0.746184957	-0.405693151	0.445719249	0.095286202
ABCA10	-0.75873021	0.931066127	-0.700552811	1.853018318	-0.854470215	-0.602886822	-0.920697971	-0.707229684	-0.717612327	0.056067106	1.899250215	-0.301338033	-0.829376657	1.405226909	0.499718886	-0.251452833
LHFPL6	-0.972579798	1.144881878	-0.95651399	1.515539697	-0.976274137	-0.806993579	-0.540226858	-0.692329883	-0.865738936	-0.723596729	1.796962594	0.638890433	0.289814206	0.821099198	1.010292947	-0.683227044
GASK1A	-0.752614286	0.361175836	-0.740060695	1.896763573	-0.773520155	-0.739994152	-0.379636656	-0.676985423	-0.723825036	-0.668663418	1.07428642	2.301888978	-0.589957236	0.288524593	0.5841533	-0.461535643
APOC1	-0.044263503	-0.357938238	-0.245775061	-0.317486754	3.731361743	-0.202002982	-0.319159256	-0.185661066	-0.097796294	-0.137146682	-0.165027715	-0.366472273	-0.305714165	-0.34670436	-0.318062879	-0.322150514
DLK1.1	-0.053552673	-0.383864051	1.398312484	-0.392573058	3.364244622	-0.28801504	-0.341972595	-0.385364739	-0.286752995	-0.338247032	-0.383221223	-0.39016798	-0.347791374	-0.394417864	-0.384804596	-0.391811887
MYF5	-0.261977434	-0.259924689	-0.173119367	-0.263516226	3.748933347	-0.237288402	-0.263516226	-0.258943658	-0.249729987	-0.219617702	-0.262780849	-0.263516226	-0.246617695	-0.263516226	-0.26243589	-0.26243277
NPPC	-0.319799114	-0.323636343	-0.261919477	-0.316263726	3.73759892	-0.262344881	-0.232912672	-0.293237457	-0.274251476	-0.116520867	-0.269655442	-0.296382909	-0.29500626	-0.080206853	-0.086708506	-0.308752937
RPL17	-0.364263421	-0.472566858	-0.420729995	-0.379914008	3.694647527	-0.316963145	-0.375582145	-0.035040148	0.105026424	0.09680674	-0.223684722	-0.299515884	-0.157528059	-0.283155101	-0.324270126	-0.243267079
APOE	0.331252853	-0.549993754	-0.270056059	-0.535654649	3.521732101	0.143577559	-0.443393341	-0.139672819	0.295914531	0.366084039	-0.318438671	-0.637443243	-0.236341797	-0.384215428	-0.604687096	-0.538664226
CHRDL2	-0.307129386	-0.321524534	-0.314416768	-0.203150485	3.731723082	-0.019864764	-0.323090771	-0.284660081	-0.228653334	-0.033178388	-0.340025532	-0.247869806	-0.20100151	-0.293092173	-0.358568587	-0.255496963
EEF1A1	0.171756936	-0.683035857	0.087063046	-0.690961541	3.365706244	-0.133168999	-0.627618915	0.191916613	0.49866911	0.596438512	-0.676450371	-0.64628992	-0.211888483	-0.529805424	-0.659084609	-0.053246343
RPL39	-0.39705573	-0.773497756	0.169826148	-0.63456304	3.389029887	-0.111528988	-0.534555453	0.229136556	0.252772858	0.780060524	-0.556329735	-0.570979094	-0.262165822	-0.545803836	-0.539238298	0.10489178
CEBPD	-0.032672387	-0.481239095	-0.517339271	-0.428001368	3.617102675	-0.361220007	-0.581326343	0.089292305	0.310321915	0.187473083	-0.423604844	-0.378118021	-0.18184449	-0.399694721	-0.314857372	-0.104272057
PLP1	-0.266609324	-0.267230468	-0.150328989	-0.253817732	-0.244041129	3.748221013	-0.273093429	-0.269578022	-0.266301252	-0.243988922	-0.267478032	-0.255929972	-0.264920643	-0.209255558	-0.265148481	-0.25049906
S100B	-0.292280268	-0.280431418	-0.136051987	-0.275153375	-0.082506396	3.742128848	-0.297592509	-0.28981977	-0.255564977	-0.243176284	-0.250056571	-0.292282702	-0.292192188	-0.16599594	-0.296390772	-0.292633688
GPM6B	-0.278277468	-0.115669168	-0.122666662	-0.32441327	-0.146357652	3.740042408	-0.277782383	-0.282492742	-0.249811293	-0.287658821	-0.326290071	-0.335024742	-0.188379278	-0.219159104	-0.251330463	-0.334729293
MT3	-0.255823699	-0.265450219	-0.237106072	-0.263181521	-0.22170348	3.749562949	-0.245573437	-0.255346905	-0.227877438	-0.239788359	-0.26372605	-0.264227748	-0.25544104	-0.225435097	-0.264252256	-0.264629628
TF	-0.256388825	-0.247192653	-0.256427341	-0.247499091	-0.200695696	3.749624552	-0.260749304	-0.257595908	-0.258912802	-0.242011524	-0.250412967	-0.257661174	-0.250766319	-0.249201482	-0.256788008	-0.257321455
SCD	-0.258180627	-0.303462797	-0.183662236	-0.264943264	-0.186833188	3.744566932	-0.110619556	-0.268262137	-0.2518885	-0.281192266	-0.236720613	-0.274788256	-0.295915258	-0.220078064	-0.331671751	-0.276348418
TUBB4A	-0.273969476	-0.271315046	-0.254401642	-0.268040073	-0.240533132	3.747519551	-0.246474862	-0.265765933	-0.269509761	-0.255120322	-0.2731756	-0.2212195	-0.124753809	-0.251577537	-0.274506109	-0.257156748
ATP1A2	-0.386648488	-0.383460403	-0.228998371	-0.39298466	-0.209131502	3.571929001	-0.033514631	-0.392796693	-0.370884256	-0.364176359	-0.333820197	-0.384541892	0.82460416	-0.122915675	-0.40053908	-0.392120954
APLP1	-0.267619569	-0.289113628	-0.23589428	-0.2679034	-0.292101086	3.739959827	-0.004630424	-0.282241262	-0.265810705	-0.275936177	-0.286683786	-0.293718194	-0.178515693	-0.21068991	-0.298911296	-0.290190419
CNP	-0.27668355	-0.388388892	-0.256030572	-0.22930711	-0.290202527	3.738447562	-0.136563422	-0.331286739	-0.318033425	-0.302949667	-0.207498231	-0.110922942	-0.275368475	-0.227867423	-0.107630797	-0.279713791
MMP11	0.218159571	-0.257355742	-0.21810055	-0.309914219	-0.298655479	-0.306509197	3.719136251	-0.300607609	-0.230838168	-0.307211329	-0.296287135	-0.28902718	-0.263031575	-0.245871658	-0.310338916	-0.303547064
STRA6	-0.164302173	-0.262504992	-0.208573053	-0.275496741	-0.286417695	-0.281601683	3.745842844	-0.255864531	-0.225463692	-0.280734794	-0.283404205	-0.280366844	-0.259801362	-0.124621733	-0.276524479	-0.280164867
ADRA2C	-0.296588066	-0.287888567	-0.294221593	-0.307452999	-0.296981164	-0.291947047	3.679579365	-0.276964725	-0.27872172	-0.309104869	-0.308467401	-0.309369953	0.475005731	-0.27642706	-0.311320103	-0.309129831
PGR	-0.337140419	-0.167850141	-0.372724916	-0.181069605	-0.379152516	-0.344190578	3.709167527	-0.331363685	-0.22998954	-0.315925999	-0.278681353	-0.352765312	0.028736153	0.142440742	-0.236317781	-0.353172576
HOXD11	-0.242270843	-0.256107109	-0.243169306	-0.245254739	-0.261281903	-0.258777855	3.749889322	-0.240501751	-0.247916503	-0.255634427	-0.24819125	-0.243056805	-0.238881249	-0.261281903	-0.259147104	-0.248416576
FOXL2	-0.265556155	-0.25618437	-0.261049804	-0.118969764	-0.271326738	-0.274846375	3.747227992	-0.209127718	-0.268425531	-0.272137206	-0.251194735	-0.262007792	-0.254408779	-0.242156102	-0.268372143	-0.271464779
ZCCHC12	-0.249908228	-0.254725316	-0.239047946	-0.253066327	-0.257338535	-0.241877487	3.749931898	-0.239820738	-0.250446569	-0.252893814	-0.254729575	-0.24253142	-0.24998344	-0.257338535	-0.255318349	-0.250905617
WNT4	-0.253601238	-0.26811958	-0.244193803	-0.28044467	-0.279414716	-0.266680058	3.743263699	-0.269786787	-0.037347348	-0.275888438	-0.204078483	-0.258064097	-0.275613034	-0.268861543	-0.286077975	-0.275091931
HOXA11	-0.30474989	-0.312761904	-0.311613328	-0.22977819	-0.299656474	-0.324685235	3.735082492	-0.262378539	-0.180503852	-0.318165729	-0.166993969	0.034799296	-0.248230361	-0.243474693	-0.280348243	-0.286541382
RAMP1	-0.192750932	-0.299035596	-0.378323316	-0.503178431	-0.455201715	0.722430984	3.424568187	-0.260483541	0.002195989	-0.396498773	-0.513711452	-0.51074385	0.773009437	-0.399307094	-0.521569167	-0.49140073
CXCL8	-0.17405744	-0.347547743	-0.320475655	-0.336946867	-0.302290164	-0.231025017	-0.306335183	3.719695356	0.130904682	-0.09935418	-0.354643566	-0.334473699	-0.304500292	-0.356249641	-0.176620429	-0.206080162
IL6	-0.373159299	-0.301044111	-0.48229116	-0.154543302	-0.382611418	-0.430098116	-0.463466116	3.645903585	0.461937586	-0.119491376	-0.372726371	-0.063235144	-0.07870409	-0.450606255	-0.221748835	-0.214115577
CXCL1	0.019574829	-0.449247393	-0.437861928	-0.413243395	-0.267387725	-0.475304683	-0.169886991	3.362978511	1.350961918	-0.295468899	-0.47901774	-0.366815645	-0.443244848	-0.442829446	-0.180264448	-0.312942118
CXCL2	0.030046562	-0.461772809	-0.48481941	-0.328779113	-0.297859176	-0.509346165	-0.514364129	3.508775438	0.882950067	-0.085405477	-0.494247103	-0.276088845	-0.325590654	-0.495370936	0.082005707	-0.230133958
CXCL3	0.062547713	-0.427844956	-0.389519823	-0.413430452	-0.247319227	-0.411631281	-0.412329598	3.421204941	1.2209374	-0.186232345	-0.453076829	-0.436183096	-0.337568371	-0.450205857	-0.302301519	-0.237046699
HMOX1	-0.273159673	-0.486908755	-0.543098339	-0.34045891	-0.011054883	-0.497934343	-0.566277478	3.48210847	0.889944084	-0.244006343	-0.438659116	-0.222284731	-0.519966531	-0.441650147	0.138812849	0.074593845
PTGS2	-0.168225984	-0.202189202	-0.513279868	-0.231833164	-0.490074826	-0.447641885	-0.604482545	3.458408099	1.022746038	0.06644255	-0.420243577	-0.366523858	-0.512252514	-0.463790908	-0.071571414	-0.055486941
MT2A	-0.074367892	-0.635966837	-0.656663213	-0.62567458	2.579333386	-0.312496164	-0.673925548	2.171808423	0.364207134	0.136962789	-0.630078348	-0.593204628	0.302711742	-0.703443109	-0.596909521	-0.052293633
TNFAIP6	0.14698678	-0.563293363	-0.252261894	-0.424135589	-0.494483213	-0.542150229	-0.616558685	3.360642506	0.631310408	0.630136422	-0.451270702	-0.247589246	-0.739930711	-0.64181115	0.388721652	-0.184312986
LIF	-0.298840885	-0.457082814	-0.567286212	-0.227279192	-0.439416584	-0.570105862	0.600244822	3.513815903	0.32095639	-0.523498072	-0.598449271	-0.224803503	-0.243486856	-0.25881474	0.295768638	-0.321721762
A2M	0.609178837	2.751442229	-0.342905212	-0.354257986	-0.68246322	0.036437886	-0.841018236	-0.146121484	1.787856289	0.025936738	-0.609133068	-0.932335772	0.317115419	-0.223772806	-0.867173751	-0.528785862
PTGDS	0.25822359	-0.543696883	-0.690321246	-0.800346968	0.796380473	2.263577112	-0.848019425	0.402377229	1.013940915	0.550379954	-0.81180846	-1.030062721	-1.003460033	1.49244209	-0.374203782	-0.675401844
PPP1R15A	0.552602971	-0.650692384	-0.518485347	-0.798718113	2.339504597	-0.403834299	-0.272577238	1.204294205	1.844683072	0.340870365	-0.952739925	-0.771474992	-0.286667787	-0.843983525	-0.592225955	-0.190555644
TCF21	0.79249933	0.34297365	-0.172018854	0.376881013	-1.141628141	-0.695534526	-0.901265899	-0.190800669	2.906714572	0.505293684	-0.783844716	0.399259671	0.123993288	-0.700300902	-1.169783587	0.307562085
IER3	0.551182331	-0.603031181	-0.739584944	-0.622674582	-0.105837631	-0.403078406	-0.108056838	2.863998643	1.636515505	0.36973947	-0.913697209	-0.370147527	-0.425323029	-0.817570707	-0.559412019	0.246978123
CCL2	-0.186365061	-0.717040372	-0.25552015	-0.774755326	-0.049503207	0.442606168	-0.935370763	2.077212354	1.978926648	1.427092011	-0.774108438	-0.848508028	0.255577067	-0.798443762	-0.235957172	-0.605841967
HSPA1A	-0.069657862	-0.619767073	-0.383619235	-1.087041928	1.686357862	0.750712254	-0.672551102	1.14973486	1.79332541	1.273137755	-1.16828242	-0.926181925	-0.081257012	-0.795288109	-0.568022083	-0.281599393
APOD	-0.504395582	-0.624713539	-0.303046969	-0.598279327	0.010862631	0.3031772	-0.663678274	0.102090302	-0.124774023	2.149008922	-0.557851452	-0.638446811	-0.61228617	2.720265067	-0.425978032	-0.231953942
CXCL14	-0.47983865	-0.6030895	-0.25262621	-0.45915824	2.946464767	-0.035638746	-0.609296919	0.027024214	-0.093441138	1.966258492	-0.3099473	-0.577633614	-0.547048497	-0.577493896	-0.372298987	-0.022235777
MGP	0.030994659	-0.634671628	0.154861704	-0.669557181	-0.074764813	-0.170547302	-0.782301949	0.580791047	0.774786651	3.141879008	-0.71015942	-0.729935815	-0.451117424	-0.533875577	-0.718134995	0.791753034
GSN	-0.543149401	-0.719661198	-0.247051998	-0.556716535	-0.0777081	0.360707751	-0.811570617	-0.154843085	0.02202936	3.084904118	-0.583905971	-0.572651132	-0.403376245	0.193131664	-0.520110808	1.529972197
MYOC	-0.816550021	-0.660088874	-0.558603082	0.449540278	-0.719404092	-0.100750794	-0.830111376	-0.231765024	-0.525174374	3.024969633	0.201258537	-0.553457609	-0.55972534	0.121021347	1.361677158	0.397163634
SPARCL1	-0.164891857	-0.684198302	-0.109663341	-0.80049171	2.197186455	0.501869254	-0.973335994	-0.321764197	0.118541439	2.348063776	-0.861209388	-0.914351332	-0.084697373	0.026042563	-0.672420069	0.395320077
CFD	-0.490140965	-0.583455418	-0.268276817	-0.496597394	0.055345443	-0.293316786	-0.703307086	0.111626168	0.128717304	2.671851125	-0.503885399	-0.441912209	-0.518453168	-0.474405445	-0.470751461	2.276962109
DPT	0.236988077	-0.793703307	-0.076648348	-0.44263469	-0.465791663	-0.388606641	-1.031523902	0.219408901	0.592410848	3.191615627	-0.041521826	-0.616288049	-0.867713818	-0.59483692	0.429186193	0.649659518
RPS27	-0.449730487	-0.919495837	0.593462018	-0.791761354	2.600692248	0.127089135	-0.708952608	0.452055976	0.274204404	1.819832105	-0.721075886	-0.721596121	-0.237525011	-0.719688145	-0.689881543	0.092371105
C7	0.024874191	1.073551572	0.056914719	0.19809127	-0.764971748	-0.305017248	-1.182166034	0.650435049	0.689470947	2.797368918	0.208809677	-1.11328572	-0.90546468	-0.254554967	-0.859123042	-0.314932903
CIDEC	-0.37367804	-0.348063842	-0.373789609	0.033088118	-0.331488381	-0.374592535	-0.374571786	-0.350290263	-0.368636176	-0.292386713	3.653187005	0.190334462	-0.366071769	-0.368386224	0.347527607	-0.302181856
PLIN1	-0.30909547	-0.282169122	-0.311031363	-0.061725751	-0.220231897	-0.316385851	-0.310894556	-0.302079344	-0.307792173	-0.29542221	3.732335102	0.02471242	-0.275860666	-0.248445079	-0.213648373	-0.302265666
PLXNA4	-0.478245101	0.982252059	-0.549788433	1.021494306	-0.572732977	-0.374160051	-0.597017205	-0.533733451	-0.55529942	-0.544810182	3.179740549	-0.307103613	-0.415624878	0.004687401	0.279260494	-0.5389195
FGF10	-0.563927536	-0.049212031	-0.504000294	0.619619625	-0.596252871	-0.476662297	-0.234392679	-0.42903999	-0.447185061	-0.317585525	3.51456845	-0.268015146	-0.267010939	0.010386457	0.464561532	-0.455851697
PKD1L2	-0.459783425	-0.424820261	-0.461702749	0.184575938	-0.449070296	-0.401064178	-0.271957557	-0.353328063	-0.438129406	-0.317896092	3.560848119	0.43560425	-0.436876233	-0.445823926	0.462594772	-0.183170893
CNTFR	-0.530538779	-0.448168042	0.057086191	1.351740822	-0.580870341	-0.099367342	-0.455979327	-0.440532377	-0.526208871	-0.3214026	3.275134101	-0.317959867	-0.543507979	-0.317262142	0.354423914	-0.456587361
ACACB	-0.547538571	0.3928842	-0.567923814	0.420465535	-0.536042215	-0.402786086	-0.528847802	-0.572495286	-0.529072878	-0.381213031	3.498245607	-0.020744128	-0.303769955	0.312800514	0.116066642	-0.350028733
SMOC1	-0.540248037	-0.465251101	-0.502323187	0.640399581	-0.498285123	0.545845954	-0.488168799	-0.506660778	-0.521599884	-0.441244766	3.403241371	-0.497905467	0.024857559	0.469444415	-0.115146347	-0.506955392
GHR	-0.592550728	0.827177525	-0.582786712	0.651803842	-0.588295415	-0.602094858	-0.661956876	-0.581691764	-0.579149788	-0.333557649	2.834278009	-0.332946536	-0.514054265	-0.057759466	1.614319332	-0.500734651
LRP1B	-0.465989658	-0.37889022	-0.451249698	-0.042807377	-0.45732768	-0.423916329	-0.434518429	-0.419783162	-0.455663153	-0.263489283	2.303731221	-0.130353743	-0.448191403	-0.264995707	2.761268318	-0.427823697
HAS1	-0.452154365	-0.526030188	-0.535901958	0.227513896	-0.514609783	-0.563046552	-0.483219854	0.750836	-0.267004684	-0.358525377	-0.399814453	3.43839137	-0.490949305	-0.425632437	0.390331369	0.209816323
ANGPTL5	-0.591228758	-0.531951793	-0.55816276	0.75394028	-0.562220226	-0.570208263	-0.605292904	-0.426155731	-0.546302444	-0.25729415	0.075604434	3.33277435	-0.573904083	0.608703054	0.32238484	0.129314154
DACT2	-0.296287293	-0.293751733	-0.261304052	-0.029024708	-0.292770087	-0.302601626	-0.287023031	-0.2332222	-0.290003424	-0.279490742	-0.275692143	3.735802594	-0.296602157	-0.302601626	-0.259787577	-0.035640194
WNT10B	-0.363323348	-0.370367329	-0.350762349	0.229954229	-0.356331927	-0.374325813	-0.343069343	-0.28359418	-0.361648265	-0.331040024	-0.237205342	3.685424649	-0.346781382	-0.197211663	-0.160402617	0.160684703
PXDNL	-0.403929962	-0.393891449	-0.384355589	0.650757217	-0.408897035	-0.408897035	-0.396073456	-0.370078432	-0.398148015	-0.323677975	-0.238854804	3.608474973	-0.331810398	-0.170103104	-0.040936575	0.01042164
KRT222	-0.460035798	-0.44078172	-0.443988469	1.141480522	-0.4575095	-0.444579204	-0.463605192	-0.344511334	-0.443868106	-0.294435797	0.429213758	3.370652642	-0.448729514	-0.467514385	-0.3125737	0.080785796
AADACL2	-0.349278395	-0.340271267	-0.349670414	0.129635681	-0.333034636	-0.349670414	-0.340152093	-0.262036512	-0.337040521	-0.31323339	-0.314744007	3.642907136	-0.334414012	-0.349670414	-0.329670662	0.53034392
CADM3	-0.414456944	-0.61858191	-0.620980226	1.054833769	-0.415182905	0.113899541	-0.6856965	-0.288124175	-0.338130163	-0.288858366	-0.228988715	3.129171969	-0.618129039	-0.464709557	-0.475009812	1.158943033
FAM180B	-0.539335076	-0.544450298	-0.497020736	0.657966242	-0.548743082	-0.411947861	-0.558013726	-0.330897051	-0.510259354	-0.258516906	-0.249259922	3.388735388	-0.511641974	0.776795915	-0.148130049	0.284718492
DKK1	-0.311869978	-0.545934345	-0.488605734	0.109556433	-0.460020105	-0.544964369	-0.104176501	0.815759496	-0.049697093	-0.508710597	-0.2962096	3.442839084	-0.478087623	-0.533852983	-0.498549754	0.45252367
RGS5	-0.272097887	-0.331159785	-0.055511038	-0.3409942	-0.194861871	0.046323622	-0.287419117	-0.228291853	-0.208806	-0.245872541	-0.341011406	-0.346881142	3.727518389	-0.256528628	-0.348118805	-0.316287738
MYH11	-0.300580746	-0.218652326	-0.318021296	-0.311065332	-0.30751838	-0.042076492	-0.31642331	-0.26459278	-0.110299799	-0.284292145	-0.335313892	-0.346786325	3.719428313	0.108268393	-0.342251759	-0.329822126
ACTA2.1	0.929787149	-0.179504236	-0.049110501	-0.513036212	-0.343393234	-0.1215701	-0.180680631	-0.371389708	-0.012518957	-0.38974414	-0.496297674	-0.494805457	3.509553309	-0.339579551	-0.543944845	-0.40376521
PLN	-0.115173903	-0.26378947	-0.102450148	-0.335530477	-0.29493913	0.115125957	-0.317813882	-0.317060466	-0.283171572	-0.246363344	-0.331767553	-0.340294331	3.722249703	-0.229712395	-0.341726944	-0.317582045
